class_names,epoch,tsne_1,tsne_2
0,0,-39.53932,16.41284
1,0,39.755432,22.876074
2,0,11.348574,3.729994
3,0,2.2018082,-46.110523
4,0,43.48402,-2.268882
5,0,12.603343,30.399977
A,0,19.948685,-22.672928
B,0,-18.590431,-30.06765
C,0,-11.340818,38.073784
D,0,-36.868225,-8.454113
E,0,-9.036252,15.208567
S,0,-1.3269789,-15.980382
0,10,-42.015114,17.304813
1,10,36.45291,22.837484
2,10,11.959877,6.486777
3,10,5.00004,-47.193672
4,10,42.290436,-8.244348
5,10,11.841531,28.384735
A,10,18.14074,-18.9082
B,10,-20.760971,-29.684643
C,10,-13.175972,43.86592
D,10,-34.368137,-0.76867247
E,10,-10.623557,14.947805
S,10,-5.4235206,-15.028544
0,11,-43.139347,20.944647
1,11,38.00287,22.142609
2,11,10.645467,2.11204
3,11,0.10217492,-47.351704
4,11,43.269623,-2.4623055
5,11,11.537962,32.65887
A,11,16.614635,-24.043945
B,11,-22.973179,-29.32088
C,11,-9.583431,40.71154
D,11,-36.538277,-1.5335157
E,11,-11.76231,10.424899
S,11,-6.4482746,-14.210456
0,12,-36.167877,18.100752
1,12,43.764523,22.84771
2,12,15.564405,3.6883168
3,12,-1.8197407,-48.59779
4,12,38.472233,-5.0559907
5,12,9.225955,35.44543
A,12,18.72,-22.382683
B,12,-24.518923,-24.710783
C,12,-11.947879,44.91169
D,12,-30.775467,-8.358277
E,12,-7.687723,14.626001
S,12,-3.1496582,-9.82727
0,13,-39.961353,20.37815
1,13,41.549988,20.455135
2,13,16.086866,1.4530308
3,13,-0.42093906,-46.494446
4,13,42.753323,-6.0840077
5,13,8.870462,31.115368
A,13,17.735294,-25.593666
B,13,-24.453932,-28.3094
C,13,-14.0496235,44.27203
D,13,-34.81923,-3.7644143
E,13,-14.2902155,10.918264
S,13,-0.01829216,-11.951879
0,14,-38.521996,16.788095
1,14,40.392517,17.525612
2,14,16.486626,8.463699
3,14,-0.9613135,-42.95468
4,14,41.193394,-1.0608718
5,14,10.38671,29.66397
A,14,19.12107,-20.126432
B,14,-19.587563,-29.7838
C,14,-9.845193,41.29234
D,14,-33.85081,-4.611769
E,14,-10.751649,11.798226
S,14,0.2635237,-11.624946
0,15,-42.5103,18.154034
1,15,42.02491,21.690935
2,15,11.98734,1.8866307
3,15,0.88688886,-50.32599
4,15,42.34207,-4.3929505
5,15,9.048761,28.769745
A,15,19.879656,-20.29975
B,15,-21.732883,-30.344057
C,15,-14.678529,40.094307
D,15,-31.57671,-1.6188955
E,15,-9.587254,6.914608
S,15,-0.18286924,-14.632031
0,16,-37.983177,18.918133
1,16,41.684227,18.872911
2,16,16.712687,8.29031
3,16,1.7253953,-45.46327
4,16,43.720123,-2.3055432
5,16,7.7694726,31.299202
A,16,17.97117,-19.124126
B,16,-22.010317,-31.16155
C,16,-10.464977,36.720417
D,16,-32.133606,-5.9677486
E,16,-8.64648,14.081193
S,16,-5.72425,-12.19181
0,17,-41.42641,19.894003
1,17,41.406887,21.101337
2,17,16.730368,4.2902184
3,17,-0.95286536,-44.86236
4,17,43.530457,-8.781842
5,17,12.676555,30.098186
A,17,17.42446,-24.035429
B,17,-22.188316,-29.889664
C,17,-11.675935,42.215797
D,17,-33.081238,-4.7674375
E,17,-13.514548,12.9564705
S,17,-6.8549156,-10.350846
0,18,-43.20045,15.886177
1,18,39.87862,20.478073
2,18,15.071961,7.627869
3,18,3.4688623,-41.82186
4,18,40.66298,-1.2221327
5,18,9.894402,34.921352
A,18,21.033209,-21.057697
B,18,-20.34451,-33.087128
C,18,-11.805492,40.537262
D,18,-35.04308,-5.773246
E,18,-11.859083,9.235326
S,18,0.8039055,-11.077351
0,19,-41.499477,18.362585
1,19,36.56861,20.18657
2,19,11.338158,7.0667467
3,19,3.0641394,-48.16721
4,19,39.37937,-8.731515
5,19,11.86917,33.376507
A,19,24.538185,-25.281328
B,19,-24.678865,-29.86026
C,19,-14.753237,44.926662
D,19,-35.03877,-3.6631572
E,19,-11.681317,12.537362
S,19,-1.7141756,-11.5552025
0,1,-39.241936,15.525243
1,1,38.915615,22.382872
2,1,16.173134,8.374774
3,1,3.657688,-42.967228
4,1,41.796635,-0.072866976
5,1,13.888761,31.5139
A,1,22.756287,-20.522429
B,1,-19.973291,-27.879797
C,1,-14.691885,45.105972
D,1,-30.729607,-7.2656646
E,1,-5.895451,12.677263
S,1,-0.3103028,-9.546681
0,20,-44.073055,17.921392
1,20,45.034153,21.150688
2,20,9.405647,3.7054336
3,20,-2.0047667,-43.477455
4,20,40.94316,-5.899098
5,20,9.96074,32.31675
A,20,20.484205,-23.579863
B,20,-20.984867,-24.508724
C,20,-6.896821,41.641136
D,20,-34.040855,-7.2196374
E,20,-10.036164,12.830255
S,20,-1.1963253,-16.145231
0,21,-36.118767,16.701508
1,21,40.32683,20.833971
2,21,14.854934,4.7293925
3,21,2.4256783,-49.694042
4,21,40.37787,-7.956194
5,21,8.079206,28.9426
A,21,21.189236,-20.23772
B,21,-19.188318,-25.302034
C,21,-12.945089,38.889557
D,21,-33.914864,-5.005911
E,21,-12.697043,9.34068
S,21,-6.608918,-9.871058
0,22,-37.646057,15.744476
1,22,44.148678,23.629267
2,22,17.060055,3.5348704
3,22,2.7740407,-42.06847
4,22,40.921078,-3.6596487
5,22,10.950922,28.463158
A,22,21.093525,-25.156157
B,22,-19.585941,-25.726751
C,22,-10.671316,41.565792
D,22,-36.128273,-6.5478272
E,22,-12.290344,11.691614
S,22,-6.254133,-11.832266
0,23,-39.58408,18.332727
1,23,44.066505,21.761925
2,23,10.81512,3.951149
3,23,5.655002,-48.46365
4,23,38.882004,-7.3624597
5,23,7.955371,28.996275
A,23,16.461807,-23.089233
B,23,-25.546177,-26.18091
C,23,-12.196684,40.6447
D,23,-31.683695,-2.484874
E,23,-6.742724,11.766094
S,23,-4.0455084,-12.167964
0,24,-37.45629,17.856535
1,24,36.701054,17.683638
2,24,14.173635,1.8933387
3,24,0.42483607,-48.13381
4,24,39.432724,-2.6813293
5,24,7.385152,29.52408
A,24,19.199707,-24.397715
B,24,-22.004333,-27.9001
C,24,-10.467718,43.99857
D,24,-30.234686,-3.7191257
E,24,-11.283626,7.69885
S,24,-3.7323577,-7.9282937
0,25,-35.492195,17.715942
1,25,43.17913,23.577118
2,25,14.31122,2.8177068
3,25,-1.2707968,-46.910824
4,25,36.52444,-5.7284875
5,25,8.120099,35.822746
A,25,20.70173,-28.041183
B,25,-18.959404,-26.49516
C,25,-13.387857,41.90358
D,25,-33.52405,-3.4512131
E,25,-8.215625,11.510783
S,25,-7.494898,-9.792716
0,26,-40.974796,17.94033
1,26,43.51794,20.949558
2,26,14.035557,1.2155057
3,26,-1.0918176,-45.398518
4,26,39.85223,-5.4113073
5,26,11.944558,34.3391
A,26,18.144459,-24.54333
